Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;Managing Digital Content Production;15 of 40;37;4.47;15 of 40;37;4.27;15 of 40;37;5.00;15 of 40;37;4.60;15 of 40;37;4.40;15 of 40;37;4.33;15 of 40;37;3.47;15 of 40;37;4.13;15 of 40;37;5.13;15 of 40;37;3.47;15 of 40;37;2.53
KDKM;Media and Communication;15 of 38;39;5.53;15 of 38;39;5.60;15 of 38;39;4.53;15 of 38;39;3.67;15 of 38;39;4.00;15 of 38;39;5.87;15 of 38;39;2.33;15 of 38;39;5.20;15 of 38;39;5.07;15 of 38;39;3.00;15 of 38;39;2.80
KDKM;Target Group Analysis;6 of 30;20;4.83;6 of 30;20;4.83;6 of 30;20;4.17;6 of 30;20;5.83;6 of 30;20;3.33;6 of 30;20;3.83;6 of 30;20;3.50;6 of 30;20;4.67;6 of 30;20;4.67;6 of 30;20;4.17;6 of 30;20;3.33
KDKM;Usability (12:30-18.30);6 of 32;18;5.00;6 of 32;18;5.33;6 of 32;18;4.83;6 of 32;18;5.50;6 of 32;18;2.67;6 of 32;18;3.17;6 of 32;18;3.83;6 of 32;18;4.83;6 of 32;18;5.67;6 of 32;18;2.50;6 of 32;18;2.50
KEBUSS;B1 Strategic and tactical tools for e-business;7 of 20;35;5.71;7 of 20;35;5.43;7 of 20;35;5.14;7 of 20;35;5.43;7 of 20;35;3.71;7 of 20;35;4.57;7 of 20;35;3.29;7 of 20;35;4.86;7 of 20;35;5.00;7 of 20;35;5.00;7 of 20;35;4.86
KEBUSS;B14O Economics of information Technology;4 of 15;26;5.50;4 of 15;26;5.25;4 of 15;26;5.25;4 of 15;26;4.00;4 of 15;26;5.25;4 of 15;26;4.50;4 of 15;26;3.75;4 of 15;26;5.00;4 of 15;26;3.50;4 of 15;26;3.75;4 of 15;26;4.25
KEBUSS;B16 E-government;2 of 12;16;6.00;2 of 12;16;5.50;2 of 12;16;5.50;2 of 12;16;5.50;2 of 12;16;4.00;2 of 12;16;5.50;2 of 12;16;2.00;2 of 12;16;6.00;2 of 12;16;5.00;2 of 12;16;4.00;2 of 12;16;3.50
KEBUSS;B17 Business Innovation and Knowledge;8 of 24;33;4.00;8 of 24;33;3.62;8 of 24;33;5.62;8 of 24;33;4.62;8 of 24;33;4.00;8 of 24;33;4.12;8 of 24;33;3.12;8 of 24;33;4.75;8 of 24;33;4.62;8 of 24;33;3.50;8 of 24;33;2.88
KEBUSS;B18 Mobile Business - Strategy, Technology and Marketing;8 of 22;36;5.12;8 of 22;36;3.75;8 of 22;36;4.88;8 of 22;36;4.00;8 of 22;36;3.75;8 of 22;36;4.00;8 of 22;36;2.88;8 of 22;36;5.12;8 of 22;36;4.25;8 of 22;36;3.62;8 of 22;36;3.25
KEBUSS;B3 Logistics and Supply Chain Management;4 of 7;57;6.00;4 of 7;57;6.00;4 of 7;57;5.75;4 of 7;57;6.00;4 of 7;57;2.00;4 of 7;57;4.50;4 of 7;57;3.00;4 of 7;57;5.75;4 of 7;57;6.00;4 of 7;57;4.75;4 of 7;57;3.00
KEBUSS;B8 IT Project Management;6 of 12;50;4.33;6 of 12;50;3.67;6 of 12;50;4.83;6 of 12;50;4.67;6 of 12;50;3.83;6 of 12;50;3.83;6 of 12;50;4.00;6 of 12;50;4.50;6 of 12;50;4.50;6 of 12;50;4.17;6 of 12;50;3.67
KEBUSS;B9 Knowledge Management;6 of 19;31;6.00;6 of 19;31;6.00;6 of 19;31;5.83;6 of 19;31;5.17;6 of 19;31;3.17;6 of 19;31;4.50;6 of 19;31;2.50;6 of 19;31;5.50;6 of 19;31;5.50;6 of 19;31;3.83;6 of 19;31;2.67
KEBUSS;P1 National internet law;10 of 26;38;5.60;10 of 26;38;4.80;10 of 26;38;5.10;10 of 26;38;4.70;10 of 26;38;3.30;10 of 26;38;4.50;10 of 26;38;2.00;10 of 26;38;5.20;10 of 26;38;4.50;10 of 26;38;3.70;10 of 26;38;3.30
